,concepts,description,related
1320,MRS,MRS, 
1321,mucus tube,mucus tube, 
1322,Munida,"Munida is the largest genus of squat lobsters in the family Munididae, with over 240 species.", 
1323,Munida bapensis,"Munida is the largest genus of squat lobsters in the family Munididae, with over 240 species.", 
1324,Munida quadrispina,Munida quadrispina is a species of squat lobster.  It was originally described to science by James E. Benedict in 1902.,"Munida, Squat lobster"
1325,Munida sp,Munida sp, 
1326,Munida sp. A,Munida sp. A, 
1327,Munididae,"Munididae is a family of squat lobsters, taxonomically separated from the family Galatheidae in 2010.","Torbenella orbis, Garymunida soelae, Squat lobster, Agononida incerta"
1328,Munidopsidae,Munidopsidae is a family of crustaceans belonging to the order Decapoda.,"Squat lobster, Munidopsis polymorpha, Anomura, Leiogalathea"
1329,Munidopsis,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.","Munidopsis polymorpha, Squat lobster, Munidopsis andamanica, Munidopsis taiwanica"
1330,Munidopsis albatrossae,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.",Munidopsis
1331,Munidopsis bairdii,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.","Munidopsis, Sidney Irving Smith"
1332,Munidopsis depressa,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.","Munidopsis, 2019 in arthropod paleontology, 2014 in arthropod paleontology"
1333,Munidopsis kensmithi,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.",Munidopsis
1334,Munidopsis lignaria,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.","Munidopsis, Austin B. Williams"
1335,Munidopsis nitida,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.","Munidopsis, Sidney Irving Smith"
1336,Munidopsis recta,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.",Munidopsis
1337,Munidopsis scotti,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.","Munidopsis, 2020 in arthropod paleontology, 2015 in arthropod paleontology"
1338,Munidopsis sp.,"Chrysomallon squamiferum, commonly known as the scaly-foot gastropod, scaly-foot snail, sea pangolin, or volcano snail is a species of deep-sea hydrothermal-vent snail, a marine gastropod mollusc in the family Peltospiridae. This vent-endemic gastropod is known only from deep-sea hydrothermal vents in the Indian Ocean, where it has been found at depths of about 2,400–2,900 m (1.5–1.8 mi).","Scaly-foot gastropod, Anomura, Cold seep, List of troglobites, List of organisms named after famous people (born 1900–1949)"
1339,Munidopsis sp. 1,"Chrysomallon squamiferum, commonly known as the scaly-foot gastropod, scaly-foot snail, sea pangolin, or volcano snail is a species of deep-sea hydrothermal-vent snail, a marine gastropod mollusc in the family Peltospiridae. This vent-endemic gastropod is known only from deep-sea hydrothermal vents in the Indian Ocean, where it has been found at depths of about 2,400–2,900 m (1.5–1.8 mi).","Scaly-foot gastropod, Anomura, Neolithodes diomedeae, List of troglobites, List of organisms named after famous people (born 1900–1949)"
1340,Munidopsis subsquamosa,"Munidopsis is a genus of squat lobster. It is the second largest of all the genera of squat lobsters, after Munida, with over 200 species.",Munidopsis
1341,Munneurycope,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.","Munnopsidae, John Murray (oceanographer), Harriet Richardson"
1342,Munneurycope murrayi,"Isopoda is an order of crustacean, which includes woodlice and their relatives. Members of this group are called Isopods and include both terrestrial and marine species.","Isopoda, Asellota, Iais pubescens, Desmosoma elegans, Microparasellidae"
1343,Munnicope,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.",Munnopsidae
1344,Munnopsidae,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.","Isopoda, Puerto Rico Trench, Asellota, Abyssal plain"
1345,Munnopsinae,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.","Munnopsidae, List of marine crustaceans of South Africa"
1346,Munnopsis,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.","Munnopsidae, List of marine crustaceans of South Africa"
1347,Muraena argus,"Muraena argus, commonly known as the white-spotted moray, or the Argus moray, is a moray eel found in coral reefs from Mexico to Peru and around the Galápagos Islands. It was described by Franz Steindachner in 1870, originally under the genus Gymnothorax.","Muraena, List of least concern fishes, List of fishes of Florida, List of marine aquarium fish species"
1348,Muriceides,Plexauridae is a family of marine colonial octocorals in the phylum Cnidaria. Members of this family are found in shallow tropical and subtropical seas.,"Plexauridae, Holaxonia, List of European species extinct in the Holocene"
1349,Muusoctopus robustus,Muusoctopus is a cosmopolitan genus of deep-sea octopus from the family Enteroctopodidae. These are small to medium-sized octopuses which lack an ink sac.,"Muusoctopus, Octopus (genus)"
1350,Mycale,Poecilosclerida is an order of the demosponge class. It is the most speciose demosponge order with over 2200 species (World Porifera Database).,"Poecilosclerida, Demosponge, Chondrocladia, Guitarridae, SpongeBob SquarePants"
1351,Mycale sp. 1,"Felimare agassizii is a species of sea slug or dorid nudibranch, a marine gastropod mollusk in the family Chromodorididae.","Felimare agassizii, Sponge isolates, John Zorn, Sponge spicule, List of marine animals of Australia (temperate waters)"
1352,Mycale sp. 2,"Mycale adhaerens, the purple scallop sponge, is a species of marine demosponge in the family Mycalidae. Mycale is a large genus and this species is placed in the subgenus Aegogropila making its full name, Mycale (Aegogropila) adhaerens.","Mycale adhaerens, Felimare agassizii, John Zorn, Sponge isolates, List of marine animals of Australia (temperate waters)"
1353,Myctophidae,"Lanternfish (or myctophids, from the Greek μυκτήρ myktḗr, ""nose"" and ophis, ""serpent"") are small mesopelagic fish of the large family Myctophidae. One of two families in the order Myctophiformes, the Myctophidae are represented by 246 species in 33 genera, and are found in oceans worldwide.","Lanternfish, Myctophiformes, Hintonia candens, Flashlight fish, List of deep water fish of the Red Sea"
1354,Myriothelidae,"Candelabridae is a small family of cnidarians within the class Hydrozoa. Myriothelidae Hincks, 1868 and Symplectaneidae Fraser, 1941 are now accepted as synonyms of this family.","Candelabridae, Anthoathecata"
1355,Myroconger gracilis,Myroconger gracilis is an eel in the family Myrocongridae (thin eels). It was described by Peter Henry John Castle in 1991.,"Myroconger, IUCN Red List data deficient species (Chordata), List of data deficient fishes, List of least concern fishes"
1356,Myroconger seychellensis,"Myroconger seychellensis is an eel in the family Myrocongridae (thin eels) described by Emma Stanislavovna Karmovskaya in 2006. It is a marine, deep-water dwelling eel known from Seychelles in the Indian Ocean (from which its species epithet is derived).","Myroconger, IUCN Red List data deficient species (Chordata), List of least concern fishes"
1357,Mysida,"Mysida is an order of small, shrimp-like crustaceans in the malacostracan superorder Peracarida. Their common name opossum shrimps stems from the presence of a brood pouch or ""marsupium"" in females.","Malacostraca, Stygiomysida, Victor Vladimirovich Petryashov, Peracarida"
1358,Mysidacea,"The Mysidacea is a group of shrimp-like crustaceans in the superorder Peracarida, comprising the two extant orders Mysida and Lophogastrida and the prehistoric Pygocephalomorpha. Current data indicate that despite their external similarities, the three orders are not closely related, and the taxon Mysidacea is not used in modern taxonomy.","Mysida, Amikiri, Krill, Peracarida"
1359,Mysidae,"Mysidae is the largest family of crustaceans in the order Mysida, with over 1000 species in around 170 genera.","Boreomysis urospina, Mysis, Mysida, Boreomysis sphaerops"
1360,Mysidae 2,Boreomysis urospina is a species of mysid crustaceans from the subfamily Boreomysinae (family Mysidae). It is also a member of the subgenus Petryashovia.,"Boreomysis urospina, Mysis, Boreomysis, Mysida, Boreomysis sphaerops"
1361,Mytilidae,"Mytilidae are a family of small to large marine and brackish-water bivalve molluscs in the order Mytilida. One of the genera, Limnoperna, even inhabits freshwater environments.","Blue mussel, Mytilus (bivalve), Mussel, Perna canaliculus"
1362,Myxoderma,The Zoroasteridae are one of three families of Asteroidea (sea stars) in the order Forcipulatida. It contains seven living genera and one extinct genus.,"Zoroasteridae, Forcipulatida, Zoroaster (disambiguation), Myxoderma, Myxoderma (sea star)"
1363,Myxoderma platyacanthum,The Zoroasteridae are one of three families of Asteroidea (sea stars) in the order Forcipulatida. It contains seven living genera and one extinct genus.,"Zoroasteridae, Forcipulatida, Zoroaster (disambiguation), Myxoderma, Myxoderma (sea star)"
1364,Myxoderma sacculatum,The Zoroasteridae are one of three families of Asteroidea (sea stars) in the order Forcipulatida. It contains seven living genera and one extinct genus.,"Zoroasteridae, Forcipulatida, Zoroaster (disambiguation), Myxoderma, Myxoderma (sea star)"
1365,Myzostomida,"The Myzostomida or Myzostomatida are an order of small marine worms, which are parasitic on echinoderms, mostly crinoids. These highly unusual and diverse annelids were first discovered by Friedrich Sigismund Leuckart in 1827.","Annelid, Pleistoannelida, Polychaete, Nemertea"
1366,Nanomia,Nanomia is a genus of cnidarians belonging to the family Agalmatidae.The genus has almost cosmopolitan distribution.Species:,"Siphonophorae, Nanomia bijuga, Agalmatidae, Atolla jellyfish"
1367,Nanomia 2,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.Siphonophores are highly polymorphic and complex organisms.","Siphonophorae, Atolla jellyfish"
1368,Nanomia bijuga,Nanomia bijuga is a species of siphonophore in the family Agalmatidae.,"Siphonophorae, Nanomia, Agalmatidae, List of marine cnidarians of South Africa"
1369,Narcomedusae,Narcomedusae is an order of hydrozoans in the subclass Trachylinae. Members of this order do not normally have a polyp stage.,"Hydrozoa, Jellyfish, Medusa, Kunstformen der Natur"
1370,Narella,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.","2004 Andhra Pradesh Legislative Assembly election, 1994 Andhra Pradesh Legislative Assembly election, 1983 Andhra Pradesh Legislative Assembly election, List of constituencies of the Telangana Legislative Assembly"
1371,Narella alata,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1372,Narella aurantiaca,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1373,Narella bowersi,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1374,Narella calamus,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1375,Narella dichotoma,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.","Narella, List of marine cnidarians of South Africa"
1376,Narella hawaiiensis,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1377,Narella horrida,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.","Narella, List of marine cnidarians of South Africa"
1378,Narella hypsocalyx,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1379,Narella macrocalyx,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1380,Narella merga,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1381,Narella muzikae,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1382,narella sp.,Primnoidae is a family of soft corals.,"Primnoidae, List of marine cnidarians of South Africa"
1383,Narella vermifera,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1384,Narella virgosa,"Narella (Gray, 1870) is a genus of deep-sea soft corals in the family Primnoidae (Milne Edwards, 1857). They are sessile, bottom-dwelling organisms that can be found in all ocean basins, having cosmopolitan distribution.",Narella
1385,Nausithoe,Nausithoidae is a family of jellyfish.,"Nausithoidae, Scyphozoa, Crown jellyfish, Nausithoe aurea, Nausithoe (jellyfish)"
1386,Nebaliacea,"Nebaliopsididae is a family of leptostracan crustaceans. It contains only two species, Nebaliopsis typica and Pseudonebaliopsis atlantica.","Nebaliopsididae, Discovery Investigations, William Thomas Calman, Clare Island Survey, List of marine crustaceans of South Africa"
1387,Nectadamas diomedeae,"Prayidae is a family of marine invertebrates in the order Siphonophorae. They are colonial, and the colonies can superficially resemble jellyfish; although they appear to be a single organism, each specimen is actually a colony of Siphonophora.","Prayidae, List of marine cnidarians of South Africa"
1388,Nectopyramis natans,Nectopyramis is a genus of hydrozoan belonging to the family Prayidae.The genus has almost cosmopolitan distribution (oceans).Species:,"Nectopyramis, Hippopodius, List of marine cnidarians of South Africa"
1389,nectosome,nectosome, 
1390,Nematocarcinus,"Nematocarcinus tenuisrostris, or long-legged shrimp, is a species of shrimp known from the Indian and Pacific Oceans.","Nematocarcinus tenuisrostris, Nematocarcinidae"
1391,Nematocarcinus longirostris,Nematocarcinidae is a family of crustaceans belonging to the order Decapoda.Genera:,"Nematocarcinidae, Nematocarcinus tenuisrostris, Nematocarcinoidea, List of crustaceans of Ireland"
1392,Nematocarcinus sp.,Nematocarcinus sp., 
1393,Nematocarcinus tenuirostris,"Nematocarcinus tenuisrostris, or long-legged shrimp, is a species of shrimp known from the Indian and Pacific Oceans.",Nematocarcinus tenuisrostris
1394,Nemertea,"Nemertea is a phylum of animals also known as ribbon worms or proboscis worms, consisting of 1300 known species.  Most ribbon worms are very slim, usually only a few millimeters wide, although a few have relatively short but wide bodies.","Lophotrochozoa, Lineus longissimus, Trochozoa, Animal"
1395,Nemichthyidae,"Snipe eels are a family, Nemichthyidae, of eels that consists of nine species in three genera. They are pelagic fishes, found in every ocean, mostly at depths of 300–600 m (980–1,970 ft) but sometimes as deep as 4,000 m (13,000 ft).","Snipe eel, Eel, Moray eel, Pie and mash, Leptocephalus"
1396,Neobythites,Neobythites is a genus of cusk-eels.,"Cusk-eel, Spectrunculus grandis, List of deep water fish of the Red Sea, List of prehistoric bony fish genera"
1397,Neocyttus acanthorhynchus,Neocyttus is a genus of oreos.,Neocyttus
1398,Neogastropoda,"Neogastropoda is an order of sea snails, both freshwater and marine gastropod molluscs.","Inquisitor vulpionis, Sea snail, Volvarina monicae, Volvarina polini"
1399,Neolithodes diomedeae,"Neolithodes diomedeae is a species of king crab which is found in the eastern Pacific Ocean, the southwestern Atlantic Ocean, and the Bellingshausen and Scotia Seas in the Southern Ocean. They occur from 200 to 2,454 m (655 to 8,050 ft).","Neolithodes, King crab, Scotoplanes"
1400,Neoloricata,"Neoloricata comprises the living representatives of the polyplacophoran molluscs, but also includes several species only known from fossils.","Katharina tunicata, Craspedoplax, Aerilamma murdochi, List of mollusc orders"
1401,Neopilina,Neopilina is a highly derived genus of modern monoplacophoran.,"Neopilina galatheae, Neopilina bruuni, Neopilina rebainsi, Neopilina starobogatovi"
1402,Neoscopelus,Neoscopelus is a genus of blackchins.,"Neoscopelus macrolepidotus, Lanternfish, Neoscopelidae, Otolith"
1403,Neoscopelus macrolepidotus,"Neoscopelus macrolepidotus, also known as a large-scaled lantern fish, is a species of small mesopelagic or bathypelagic fish of the family Neoscopelidae, which contains six species total along three genera. The family Neoscopelidae is one of the two families of the order Myctophiformes.","Neoscopelus, Lanternfish, Neoscopelidae, List of least concern fishes"
1404,Nepanthia,"Nepanthia is a genus of starfish of the family Asterinidae. Members of the genus have four to seven rays and are found in the eastern Pacific Ocean, ranging from Burma and Indonesia to Australia.","Nepanthia belcheri, Asexual reproduction in starfish, Starfish, Asterinidae"
1405,Nephropidae,"Nephropoidea is a superfamily of decapod crustaceans. It contains the true lobsters in the Nephropidae (including the rare thaumastochelid lobsters), and three fossil families: Chilenophoberidae, Protastacidae and Stenochiridae.","Nephropoidea, Astacidea, Decapoda, Crayfish, Astacoidea"
1406,Nephtheidae,"Nephtheidae is a family of soft corals in the phylum Cnidaria. Members of this family are known as carnation corals, tree corals or colt soft corals.","Basket star, Alcyonacea, Dendronephthya, Gersemia rubiformis"
1407,Neptunea,"The Neptuneinae are  taxonomic subfamily of large sea snails, often known as whelks.","Neptuneinae, Aulacofusus, Neptunea, Buccinidae"
1408,Neptunea amianta,"The Neptuneinae are  taxonomic subfamily of large sea snails, often known as whelks.","Neptuneinae, Aulacofusus, Neptunea, Buccinidae"
1409,Neptunea-Buccinum Complex,Neptunea-Buccinum Complex, 
1410,net,net, 
1411,Nettastoma parviceps,"The duck-billed eel (Nettastoma parviceps) also known as the shortsnouted sorcerer or the smallhead duckbill eel, is an eel in the family Nettastomatidae (duckbill/witch eels). It was described by Albert Günther in 1877.","Duck-billed eel, Nettastoma"
1412,Nezumia,"Nezumia is a genus of rattails. The generic name derives from the Japanese 鼠 (nezumi), meaning ""mouse"".","Grenadiers (fish), Nezumia toi, Common Atlantic grenadier, List of fish of the Mediterranean Sea"
1413,Nezumia liolepis,"Nezumia is a genus of rattails. The generic name derives from the Japanese 鼠 (nezumi), meaning ""mouse"".","Nezumia, List of least concern fishes"
1414,Nezumia obliquata,"Nezumia is a genus of rattails. The generic name derives from the Japanese 鼠 (nezumi), meaning ""mouse"".","Nezumia, List of marine animals of the Cape Peninsula and False Bay"
1415,Nezumia propinqua,"Nezumia is a genus of rattails. The generic name derives from the Japanese 鼠 (nezumi), meaning ""mouse"".",Nezumia
1416,Nezumia stelgidolepis,"Nezumia is a genus of rattails. The generic name derives from the Japanese 鼠 (nezumi), meaning ""mouse"".",Nezumia
1417,Nicella,Ellisellidae is a family of soft corals.,"Ellisellidae, Alcyonacea, Calcaxonia, Ellisella paraplexauroides, List of marine cnidarians of South Africa"
1418,Nidaliidae,Nidaliidae is a family of soft corals in the phylum Cnidaria. Some members of this family are similar in appearance to gorgonians (sea fans).,"Alcyonacea, Sirindhorn, Nephthyigorgia, Siphonogorgia"
1419,Notobranchaea,"The Notobranchaeidae, or ""naked sea butterflies"", are a taxonomic family of floating sea slugs, specifically under the subclass Opistobranchia, also called ""sea angels"".Similar to other Pteropods, these pelagic marine heterobranch gastropod mollusks are holoplanktonic.",Notobranchaeidae
1420,Notobranchaea grandis,"The Notobranchaeidae, or ""naked sea butterflies"", are a taxonomic family of floating sea slugs, specifically under the subclass Opistobranchia, also called ""sea angels"".Similar to other Pteropods, these pelagic marine heterobranch gastropod mollusks are holoplanktonic.",Notobranchaeidae
1421,Notobranchaea gransdis,Notobranchaea gransdis, 
1422,Notobranchaea macdonaldi,"The Notobranchaeidae, or ""naked sea butterflies"", are a taxonomic family of floating sea slugs, specifically under the subclass Opistobranchia, also called ""sea angels"".Similar to other Pteropods, these pelagic marine heterobranch gastropod mollusks are holoplanktonic.",Notobranchaeidae
1423,Notostomus,"Atolla wyvillei, also known as the Atolla jellyfish or Coronate medusa, is a species of deep-sea crown jellyfish (Scyphozoa: Coronatae). It lives in oceans around the world.","Atolla jellyfish, Oplophoridae, List of prehistoric malacostracans, List of marine crustaceans of South Africa"
1424,Nototodarus,"Nototodarus is a genus of squid. Example species in this genus include Nototodarus sloanii, a species sought for human food; in the process of harvesting N. sloanii Australian sea lions are frequently killed, since that marine mammal preys upon this squid species.","Arrow squid, Nototodarus sloanii, Ommastrephidae, Nototodarus hawaiiensis"
1425,Novodinia,Novodinia is a genus of echinoderms belonging to the family Brisingidae.The genus has almost cosmopolitan distribution.Species:,"Novodinia americana, Novodinia antillensis, Brisingidae, Starfish"
1426,Novodinia pacifica,Novodinia is a genus of echinoderms belonging to the family Brisingidae.The genus has almost cosmopolitan distribution.Species:,"Novodinia, Brisingidae"
1427,Nudibranchia,"Nudibranchs () are a group of soft-bodied marine gastropod molluscs that shed their shells after their larval stage. They are noted for their often extraordinary colours and striking forms, and they have been given colourful nicknames to match, such as ""clown"", ""marigold"", ""splendid"", ""dancer"", ""dragon"", and ""sea rabbit"".","Nudibranch, Halgerda aurantiomaculata, Mollusca, Glaucus atlanticus, List of Nudibranchia of Ireland"
1428,Oasisia,"Siboglinidae is a family of polychaete annelid worms whose members made up the former phyla Pogonophora and Vestimentifera (the giant tube worms). The family is composed of around 100 species of vermiform creatures which live in thin tubes buried in sediment (Pogonophora) or in tubes attached to hard substratum (Vestimentifera) at ocean depths ranging from 100 to 10,000 m (300 to 32,800 ft).","Siboglinidae, Riftia pachyptila, Charles R. Fisher"
1429,object,object, 
1430,Oceanapia,Oceanapia, 
1431,Octacnemidae,Octacnemidae is a family of tunicates belonging to the order Phlebobranchia.Genera:,"Predatory tunicate, Phlebobranchia, Megalodicopia"
1432,Octacnemidae sp. 1,Octacnemidae sp. 1, 
1433,Octacnemus,Octacnemidae is a family of tunicates belonging to the order Phlebobranchia.Genera:,"Octacnemidae, Phlebobranchia"
1434,Octocorallia,"Octocorallia (also known as Alcyonaria) is a class of Anthozoa comprising around 3,000 species of water-based organisms formed of colonial polyps with 8-fold symmetry. It includes the blue coral, soft corals, sea pens, and gorgonians (sea fans and sea whips) within three orders: Alcyonacea, Helioporacea, and Pennatulacea.","Anthozoa, Coral, Alcyonacea, Pennatula"
1435,Octogonade,Tiaropsidae is a family of cnidarians belonging to the order Leptothecata.Genera:,Tiaropsidae
1436,Octogonade mediterranea,Tiaropsidae is a family of cnidarians belonging to the order Leptothecata.Genera:,Tiaropsidae
1437,Octopoda,"An octopus (PL: octopuses or octopodes) is a soft-bodied, eight-limbed mollusc of the order Octopoda (, ok-TOP-ə-də). The order consists of some 300 species and is grouped within the class Cephalopoda with squids, cuttlefish, and nautiloids.","Octopus, Steve O'Shea, Grimpoteuthis, Coleoidea, Seven-arm octopus"
1438,Octopodidae,The Octopodidae comprise the family containing the majority of known octopus species.,"Mimic octopus, Hectocotylus, Eledone moschata, Greater blue-ringed octopus"
1439,Octopodinae,The Octopodidae comprise the family containing the majority of known octopus species.,"Octopodidae, Octopus wolfi, Octopus (genus), Blue-ringed octopus, Pinnoctopus"
1440,Octopodoidea,"Octopodoidea is a superfamily of the suborder Incirrata containing all extant octopods except for the cirrate octopodes, argonauts (Alloposidae, Argonautidae, Ocythoidae and Tremoctopodidae), and the vampire squid.","Octopodiformes, Amphitretidae, Octopus, Octopodidae"
1441,Octopoteuthis deletron,Octopoteuthis deletron is a species of squid in the genus Octopoteuthis of the family Octopoteuthidae. They belong to the pelagic squids of order Oegopsida.,"Octopoteuthis, Albatrossia, Octopoteuthidae, Bioluminescence"
1442,Octopus,"An octopus (PL: octopuses or octopodes) is a soft-bodied, eight-limbed mollusc of the order Octopoda (, ok-TOP-ə-də). The order consists of some 300 species and is grouped within the class Cephalopoda with squids, cuttlefish, and nautiloids.","Doctor Octopus, Giant Pacific octopus, Octopus (disambiguation), Blue-ringed octopus"
1443,Octopus californicus,"Octopus californicus (commonly the North Pacific bigeye octopus or orange bigeye octopus) is an octopus in the family Octopodidae. It is provisionally assigned to the genus Octopus, but some scholars have concluded it belongs in other genuses.","Octopus (genus), Halibut, Sea cucumbers as food, List of Latin and Greek words commonly used in systematic names"
1444,Octopus rubescens,"Octopus rubescens (commonly the East Pacific red octopus, also known as the ruby octopus, a preferred common name due to the abundance of octopus species colloquially known as red octopus) is the most commonly occurring shallow-water octopus on much of the North American West Coast and a ubiquitous benthic predator in these habitats. Its range extends from the southern Gulf of California to at least the Gulf of Alaska, but may also occur in the western Pacific Ocean.","East Pacific red octopus, Octopus (genus), Mollusca, Ocean acidification, Aquarium of the Bay"
1445,Odontanthias,"Odontanthias is a genus of marine ray-finned fish in the subfamily Anthiinae and family Serranidae. Depending on the exact species, they reach up to 10–22 cm (3.9–8.7 in) in standard length, and are brightly marked with pink and yellow.","Odontanthias cauoh, Serranidae, Holanthias, List of fish of Hawaii"
1446,Odontanthias katayamai,"Odontanthias is a genus of marine ray-finned fish in the subfamily Anthiinae and family Serranidae. Depending on the exact species, they reach up to 10–22 cm (3.9–8.7 in) in standard length, and are brightly marked with pink and yellow.",Odontanthias
1447,Odontanthias n.,"Odontanthias is a genus of marine ray-finned fish in the subfamily Anthiinae and family Serranidae. Depending on the exact species, they reach up to 10–22 cm (3.9–8.7 in) in standard length, and are brightly marked with pink and yellow.","Odontanthias, John Ernest Randall, Holanthias, Serranidae, Anthias (genus)"
1448,Odontanthias tapui,"Odontanthias is a genus of marine ray-finned fish in the subfamily Anthiinae and family Serranidae. Depending on the exact species, they reach up to 10–22 cm (3.9–8.7 in) in standard length, and are brightly marked with pink and yellow.","Odontanthias, List of least concern perciform fishes"
1449,Odontanthias unimaculatus,"Odontanthias is a genus of marine ray-finned fish in the subfamily Anthiinae and family Serranidae. Depending on the exact species, they reach up to 10–22 cm (3.9–8.7 in) in standard length, and are brightly marked with pink and yellow.","Odontanthias, List of fish of Hawaii, List of least concern perciform fishes"
1450,Odontaspis ferox,"The smalltooth sand tiger or bumpytail ragged-tooth (Odontaspis ferox) is a species of mackerel shark in the family Odontaspididae, with a patchy but worldwide distribution in tropical and warm temperate waters. They usually inhabit deepwater rocky habitats, though they are occasionally encountered in shallow water, and have been known to return to the same location year after year.","Smalltooth sand tiger, Odontaspis, Sand shark, Lamniformes, Sand tiger shark"
1451,Oikopleura,Oikopleura is a genus of tunicate in the class Appendicularia (larvaceans). It forms a mucus house every four hours at 20 degrees Celsius.,"Oikopleura dioica, Larvacean, Tunicate, Oikopleura cophocerca"
1452,Oikopleuridae,"Oikopleuridae is a family of larvacean tunicates. A comparatively species-rich family, it has been especially well-researched thanks to the ubiquity of Oikopleura dioica as a model species.","Larvacean, Oikopleura, Bathochordaeus, Bathochordaeus charon"
1453,Oncorhynchus,"Oncorhynchus is a genus of ray-finned fish in the subfamily Salmoninae of the family Salmonidae, native to coldwater tributaries of the North Pacific basin. The genus contains twelve extant species, namely six species of Pacific salmon and six species of Pacific trout, all of which are migratory (either anadromous or potamodromous) mid-level predatory fish that display natal homing and semelparity.","Rainbow trout, Oncorhynchus masou, Sockeye salmon, Salmon"
1454,Oneirodes acanthias,Oneirodes is a genus of fish in the family Oneirodidae.,"Oneirodes, List of least concern fishes, List of fish of Ireland, List of fishes of Great Britain"
1455,Oneirophanta,Oneirophanta mutabilis is a species of sea cucumbers in the family Deimatidae. It is the type species of the genus Oneirophanta.,"Oneirophanta mutabilis, Deimatidae, Porcupine Abyssal Plain"
1456,Oneirophanta mutabilis complex,Oneirophanta mutabilis complex, 
